,text,emotion,,,,,,,,,,
0,check it fast guyssss....buka aplikasi GO FOOD mu via Gojek https://t.co/5lCYvrdEa5,1,,,,,,,,,,
1,"Tips Hindari Penipuan, Bagi DriverÃƒâ€šÃ‚Â Gojek https://t.co/wV9atKzNjB",1,,,,,,,,,,
2,Saya sangat malu setelah seorang teman memukuli saya di sekolah dan saya dikalahkan.,0,,,,,,,,,,
3,@TirtoID Gojek skrg kapitalis. Lebih jahat dr yahudi...,0,,,,,,,,,,
4,@DriverGojekPro @GoTotheJek Kejadian sebelum bulan November dan badai anyep melanda,0,,,,,,,,,,
5,Apakah siaran liga 1 gojek traveloka di siarin semua ? Atau cuman beberapa pertandingan saja ?@OrangetvID,1,,,,,,,,,,
6,@gojekindonesia halo. saya mau tanya. uang gojek sehabis order itu nantinya akan disetor atau untuk driver sendiri ya?,1,,,,,,,,,,
7,Gojek Peduli Anak Yatim feat Team Sedekah Barokah: https://t.co/qL5pod5OLi via @YouTube,1,,,,,,,,,,
8,"RT @TMCPoldaMetro: 18.02 Kecelakan mobil B 2570 SKV menabrak separator Busway di TL Salemba, dalam penanganan petugas. https://t.co/ysa1InXÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Â¦",0,,,,,,,,,,
9,Sejam gak ah tunggu gojek nie ya rabbi..,0,,,,,,,,,,
10,Gila. Ga banget deh hujan-hujanan sama abang gojek. Sumpah.,0,,,,,,,,,,
11,"@soloposdotcom GoCar dan GoJek makin mahal, padahal katanya baru disuntik dana..",0,,,,,,,,,,
12,Tfw both gojek and grab mahal nya selangit. https://t.co/bdUgx4ybzd,0,,,,,,,,,,
13,"Akhirnya pas jam istirahat lari panggil gojek kedepan kantor, pas bgt ada gojek mangkal. Ngebut ke indomaret depanÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Â¦ https://t.co/xbGgH9yjDz",1,,,,,,,,,,
14,"Bang @gojekindonesia kayanya bang gojek kudu fix bug nih, banyak driver yang gak sesuai plat nomer dan identitas. kan kita takut jd costumer",0,,,,,,,,,,
15,Sebelum ujian lisan - yang pada akhirnya tidak saya ambil.,1,,,,,,,,,,
16,RT @AlfaDiko: Uwow poto nya uda tersebar di acc gay wakaka RT @linggajawa: Gojek ganteng https://t.co/AIMA60haXT,1,,,,,,,,,,
17,"@shellywahyuni Naik gojek lah cuss.. duh kenapa sih lu jauh banget, sini lah hidup di ibu kota yang keras ini",1,,,,,,,,,,
18,Pada hari aku pergi makan malam di aula dinning dan menemukan lalat mati dalam sausku.,0,,,,,,,,,,
19,@gojekindonesia ini masalah orderan gojek gimama ya min? Ko eror gini?,0,,,,,,,,,,
20,Saya pernah diperkosa ketika saya melalui lorong gelap di belakang rumah kami. Pria itu mendorongku ke semak-semak. Saya berjuang kembali dan berhasil melarikan diri.,0,,,,,,,,,,
21,@eka_rahmaa biasanya kalo naik grab 4ribu:') cuman td pagi kan ujan terus grab nya kaya bnyk yang mesen gitu jadi pake gojek. sedih ga,0,,,,,,,,,,
22,"Mending Gojek ,Grab, Uber ?
Mau 
Mobil/motor
Sharing yaaaaaaaaa ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â Mending motoran dewe https://t.co/my89GY40Wb",1,,,,,,,,,,
23,Ketika saya membuat gol kemenangan selama pertandingan sepak bola yang sangat penting.,1,,,,,,,,,,
24,Ketika seorang bocah yang paling kubenci di kelas kami mengambil T Jersey dari mejaku dan memakainya.,0,,,,,,,,,,
25,Orang yang memiliki pertandingan sepak bola di luar jendela selama ceramah.,1,,,,,,,,,,
26,@Aprilia27957795 @lyapedia @indra_zaids Madrid..lagi persiapan mau ikuta Liga Gojek di Indonesia..makanya Liga satuÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Â¦ https://t.co/OG05wecvws,1,,,,,,,,,,
27,Ngga percaya? Aing kasi contoh nih Kebijakan Privasi ojol (sesuai topik twit yang dibahas):,1,,,,,,,,,,
28, @rlthingy Gue dikasih duit ongkos gojek aja ngomong makasih. Ini dikirim duit cuma bilang ok doang. Enak bgt ya nder.,1,,,,,,,,,,
29,"Ketika kerabat bertindak aneh, dan tidak ramah terhadapku.",0,,,,,,,,,,
30,kemaren malem si terus w pas ambil gojek lari2 takut,1,,,,,,,,,,
31,Saya baru saja masterbated dengan anak laki-laki lain.,1,,,,,,,,,,
