,text,emotion,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,check fast guyssssbuka aplikasi go food mu via gojek,2,,,,,,,,,,
1,tips hindar tipu drivergojek,0,,,,,,,,,,
2,malu teman pukul sekolah kalah,5,,,,,,,,,,
3,gojek kapitalis jahat yahudi,2,,,,,,,,,,
4,jadi november badai anyep landa,3,,,,,,,,,,
5,siar liga gojek traveloka siarin cuman tanding orangetvid,3,,,,,,,,,,
6,halo uang gojek habis order setor driver ya,0,,,,,,,,,,
7,gojek peduli anak yatim feat tim sedekah barokah via youtube,0,,,,,,,,,,
8,cela mobil b skv tabrak separator busway tl salemba tangan tugas,5,,,,,,,,,,
9,jam ah tunggu gojek nie ya rabbi,3,,,,,,,,,,
10,gila banget deh hujanhujanan abang gojek sumpah,0,,,,,,,,,,
11,gocar gojek mahal suntik dana,5,,,,,,,,,,
12,tfw gojek grab mahal nya langit,3,,,,,,,,,,
13,pas jam istirahat lari panggil gojek depan kantor pas gojek mangkal ngebut indomaret,3,,,,,,,,,,
14,bang kaya bang gojek kudu fix bug nih driver sesuai plat nomer identitas takut costumer,1,,,,,,,,,,
15,uji lisan ambil,1,,,,,,,,,,
16,uwow poto nya sudahtersebar acc gay wakaka gojek ganteng,0,,,,,,,,,,
17,gojek cuss duh sih lu banget hidup kota keras,3,,,,,,,,,,
18,pergi makan malam aula dinning temu lalat mati saus,4,,,,,,,,,,
19,order gojek gimama ya admin ko eror gin,2,,,,,,,,,,
20,perkosa lorong gelap rumah pria dorong semaksemak juang hasil lari,1,,,,,,,,,,
21,grab ribu cuman pagi ujan grab nya kaya bnyk mesen pakai gojek sedih,3,,,,,,,,,,
22,mending gojek grab uber mobilmotorsharing yaaaaaaaaa mending motor dewe,3,,,,,,,,,,
23,gol menang tanding sepak bola,0,,,,,,,,,,
24,bocah benci kelas ambil jersey meja maka,4,,,,,,,,,,
25,orang milik tanding sepak bola jendela ceramah,2,,,,,,,,,,
26,madridlagi siap ikuta liga gojek indonesiamakanya liga,3,,,,,,,,,,
27,percaya aing kasi contoh nih bijak privasi ojol sesuai topik twit bahas,4,,,,,,,,,,
28,kasih duit ongkos gojek ngomong terima kasih kirim duit bilang ok doang enak ya nder,0,,,,,,,,,,
29,kerabat tindak aneh ramah hadap,5,,,,,,,,,,
30,kemaren malem si pas ambil gojek lari takut,1,,,,,,,,,,
31,masterbated anak lakilaki,5,,,,,,,,,,
32,reply nya quiz marah komplain direspon drivergojekpro,4,,,,,,,,,,
33,semester fisika,0,,,,,,,,,,
34,bulan salah rekan kerja promosi promosi aku libat,2,,,,,,,,,,
35,lib klaim lunas utang klub serta liga gojektraveloka warta ekonomi,0,,,,,,,,,,
36,gojek mas wk,5,,,,,,,,,,
37,sakit teman,4,,,,,,,,,,
38,eh pas pulang adek gua tuh nunggu bokap bokap kunjung jam jemput nya,2,,,,,,,,,,
39,admin masuk akun gojek nomer akun hangus solusi,3,,,,,,,,,,
40,gojek order driver,0,,,,,,,,,,
41,orangers nanti siar langsung gojek traveloka liga indonesia musim eksklusif orange tv tayang cha,0,,,,,,,,,,
42,malam minum alkohol muntah hadap orang,5,,,,,,,,,,
43,rasa kemudi bus teriak katakata senonoh pria alas,4,,,,,,,,,,
44,auditorium orangorang aju konyol orang tertawa,5,,,,,,,,,,
45,pergi stockholm kali tinggal jalan stora hissingen jalan salah,1,,,,,,,,,,
46,cerita driver ambil tumpang taspen wkwkwkw akting e umak sipp ayas yo ngalami cman penumpange seng k,3,,,,,,,,,,
47,kakak lakilaki gagal bentuk usia,4,,,,,,,,,,
48,liga gojek denda nih,2,,,,,,,,,,
49,berita pilih sekutu teliti nasional junior ugc mimpi nyata,0,,,,,,,,,,
50,curi masuk rumah malam,1,,,,,,,,,,
51,bingung makan orang gatau makan ngeluh keujanan gojek,3,,,,,,,,,,
52,ganti nama aplikasi gojek driver chat manggil,5,,,,,,,,,,
53,marah kasih duit suruh pakai gojek ketemenmu emngnya pacar kamuu ojekkk apaa,4,,,,,,,,,,
54,kali hadap lapor represi siksa,4,,,,,,,,,,
55,kaskus gojekkalau jepang pocari sih biopic,0,,,,,,,,,,
56,sih gojek pribadi,2,,,,,,,,,,
57,tbtb teringt moment embarassing kmrn pagi psn gojek gondangdia kemenpar lupa gnti nama akun,3,,,,,,,,,,
58,buka toped buka grab buka traveloka buka twitter buka spotify buka gojek buka shopee,5,,,,,,,,,,
59,curi dompet ibu,5,,,,,,,,,,
60,guess woke ons wrong side bed motor bawa mama telat yaudah gojek rb inih,2,,,,,,,,,,
61,bohong pikir marah erti bicara,5,,,,,,,,,,
62,standar bicara bahasa inggris bicara keluarga salah sepupu koreksi percaya bahasa inggris benarbenar malu,5,,,,,,,,,,
63,pecah telur salah cangkir gumpal putih tebal dalam coba keluar lempar bak cuci,4,,,,,,,,,,
64,milik asa jijik jr teman kelas sekolah kumpul ambil uang pajak tua sukses bayang orang dewasa situasi keluh,4,,,,,,,,,,
65,sr hs salah konselor kelas tinggal hepatitis sensitif malu tarik baik citra rindu makam buka sedih orang tua erti,3,,,,,,,,,,
66,nomor resi ubah ubah sore dibatalin guna pakai gojek kl tanggal nympe,2,,,,,,,,,,
67,mas hyunwoo kerjagaboleh gojek mbak cuman sampe rumah bang ayola,3,,,,,,,,,,
